id	rate
26165	132
27001	111
27003	1620
27005	242
27007	322
27009	190
27011	39
27013	460
27015	195
27017	253
27019	354
27021	209
27023	96
27025	280
27027	514
27029	33
27031	28
27033	137
27035	345
27037	2084
27039	91
27041	288
27043	76
27045	177
27047	240
27049	226
27051	49
27053	15452
27055	65
27057	96
27059	297
27061	300
27063	72
27065	130
27067	262
27069	21
27071	184
27073	31
27075	60
27077	6
27079	143
27081	37
27083	193
27085	452
27087	12
27089	69
27091	202
27093	151
27095	281
27097	166
27099	421
27101	47
27103	270
27105	338
27107	39
27109	1164
27111	315
27113	213
27115	180
27117	62
27119	218
27121	72
27123	4077
27125	9
27127	71
27129	109
27131	676
27133	91
27135	100
27137	1279
27139	827
27141	447
27143	47
27145	916
27147	286
27149	165
27151	68
27153	155
27155	34
27157	168
27159	53
27161	76
27163	1155
27165	43
27167	23
27169	801
27171	523
27173	67
28001	114
28003	151
28005	0
28007	101
28009	0
28011	69
28013	85
28015	57
28017	62
28019	41
28021	13
28023	255
28025	59
28027	94
28029	63
28031	150
28033	779
28035	794
28037	81
28039	91
28041	39
28043	140
28045	199
28047	1041
28049	1030
28051	60
28053	30
28055	25
28057	75
28059	889
28061	75
28063	3
28065	133
28067	261
28069	105
28071	348
28073	271
28075	409
28077	105
28079	104
28081	104
28083	105
28085	219
28087	216
28089	449
28091	176
28093	139
28095	95
28097	25
28099	169
28101	73
28103	15
28105	353
28107	167
28109	246
28111	71
28113	595
28115	175
28117	75
28119	0
28121	785
28123	172
28125	0
28127	224
28129	126
28131	152
28133	40
28135	20
28137	48
28139	132
28141	76
28143	71
28145	170
28147	188
28149	322
28151	155
28153	200
28155	117
28157	3
28159	39
28161	44
28163	66
29001	135
29003	59
29005	16
29007	192
29009	139
29011	37
29013	66
29015	62
29017	51
29019	1505
29021	539
29023	183
29025	45
29027	176
29029	357
29031	543
29033	52
29035	35
29037	365
29039	63
29041	28
29043	558
29045	68
29047	891
29049	103
29051	520
29053	100
29055	56
29057	61
29059	72
29061	77
29063	102
29065	210
29067	77
29069	128
29071	224
29073	69
29075	70
29077	1915
29079	112
29081	42
29083	69
29085	63
29087	7
29089	49
29091	234
29093	56
29095	4470
29097	777
29099	682
29101	213
29103	52
29105	258
29107	397
29109	93
29111	40
29113	156
29115	94
29117	94
29119	224
29121	93
29123	5
29125	20
29127	244
29129	9
29131	321
29133	33
29135	90
29137	57
29139	23
29141	144
29143	45
29145	445
29147	135
29149	77
29151	32
29153	13
29155	38
29157	79
29159	169
29161	341
29163	177
